"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
3,571754583E1;2,359323025E0;-1,996810555E0;-6,204588890E0
3,581754583E1;1,515853167E0;-9,388837814E0;-5,596812248E0
3,591754583E1;2,532802820E0;-5,831308842E0;-7,231708050E0
3,601754583E1;4,977070987E-1;-1,490549088E1;-9,759725571E0
3,611754583E1;2,749951363E0;-7,015756130E0;-4,600201607E0
3,621754583E1;7,013363361E0;-1,011805058E1;-9,327820778E0
3,631754583E1;-2,168495417E0;-3,187838078E0;-1,737189293E0
3,641754583E1;7,657032460E-2;-6,945167780E-1;-3,093919754E0
3,651754583E1;6,156134605E0;-4,243670940E0;-5,291727066E0
3,661754583E1;3,099901676E0;-6,853642464E0;-4,639683247E0
3,671754583E1;4,046263218E0;-1,145803165E1;-7,281359196E0
3,681754583E1;7,127620220E0;-8,948558807E0;-7,540980339E0
3,691754583E1;3,326023519E-1;-5,374877930E0;-6,400800347E-1
3,701754583E1;3,820141315E0;-9,905089378E0;-9,971489906E0
3,711754583E1;3,014956474E0;-4,420739651E0;-3,196212769E0
3,721754583E1;3,769891977E0;-3,266202927E0;-6,871588230E0
3,731754583E1;-1,591227055E-1;1,430907965E0;-4,893322468E0
3,741754583E1;4,473979950E0;-7,482356548E0;-5,237290382E0
3,751754583E1;4,399802685E0;-8,971888542E0;-7,582256794E0
3,761754583E1;1,019940615E0;-8,477172852E0;-3,109472990E0
3,771754583E1;2,618346214E0;-9,495318413E0;-6,343971252E0
3,781754583E1;7,311867714E0;-1,301336575E1;-8,237890244E0
3,791754583E1;5,509474277E-1;-1,944766641E0;-2,129612207E0
3,801754583E1;7,779664516E0;-7,356134892E0;-1,360200024E1
3,811754583E1;1,738983870E0;4,234099865E0;-4,511667252E0
3,821754583E1;4,979464054E0;-6,576673031E0;-7,760521889E0
3,831754583E1;5,111667156E0;-7,325626373E0;-5,129613400E0
3,841754583E1;7,463811874E0;-1,007139015E1;-9,190832138E0
3,851754583E1;2,101496458E0;-7,137789726E0;-5,224130154E0
3,861754583E1;5,284548759E0;-7,615158081E0;-3,356531858E0
3,871754583E1;7,767700672E0;-9,105288506E0;-5,133202553E0
3,881754583E1;5,258227587E-1;-9,161520004E0;-1,720439434E0
3,891754583E1;3,408575773E0;-4,273581028E0;-2,987439156E0
3,901754583E1;4,741377831E0;-5,909673691E0;-9,253045082E0
3,911754583E1;3,473181963E0;-5,063212872E0;-7,051050186E0
3,921754583E1;7,181458950E0;-1,094776154E1;-7,203592777E0
3,931754583E1;5,285147190E0;-1,100219822E1;-6,220142365E0
3,941754583E1;3,577269793E0;-7,198806763E0;-4,639683247E0
